Age,Gender,Job_Role,Stress_Level,Hours_Worked_Per_Week,Mental_Health_Condition,Region,Work_Location
33,Male,Data Scientist,Medium,35,Burnout,South America,Remote
30,Female,Sales,High,39,,Oceania,Remote
22,Female,HR,Low,29,,Africa,Onsite
35,Male,Project Manager,Medium,37,Burnout,Europe,Onsite
26,Non-binary,HR,High,28,Anxiety,Europe,Onsite
47,Male,Sales,Low,31,,South America,Remote
42,Female,Software Engineer,Medium,26,,South America,Onsite
60,Prefer not to say,Project Manager,Medium,46,Depression,Asia,Onsite
26,Female,Software Engineer,Medium,55,Burnout,Asia,Hybrid
30,Non-binary,Project Manager,Low,47,Anxiety,Africa,Hybrid
42,Male,Software Engineer,Low,48,Depression,Asia,Remote
53,Prefer not to say,HR,Low,49,,South America,Onsite
26,Prefer not to say,Designer,Low,51,,Oceania,Remote
26,Prefer not to say,Data Scientist,Medium,57,,Oceania,Remote
25,Non-binary,Sales,Medium,33,Depression,Europe,Hybrid
33,Female,Sales,Medium,30,Depression,North America,Remote
25,Non-binary,Project Manager,Medium,28,Depression,Asia,Hybrid
22,Female,Software Engineer,Medium,31,Depression,South America,Onsite
60,Prefer not to say,Data Scientist,Medium,37,Burnout,Oceania,Hybrid
56,Male,HR,Medium,31,Anxiety,Europe,Remote
45,Non-binary,Software Engineer,Medium,46,Burnout,Oceania,Hybrid
60,Female,Marketing,High,20,,Oceania,Remote
32,Female,Designer,High,51,Anxiety,South America,Onsite
25,Female,Marketing,Low,28,,North America,Remote
43,Prefer not to say,Marketing,Medium,39,Anxiety,North America,Onsite
50,Prefer not to say,Designer,Medium,29,Depression,Oceania,Remote
28,Prefer not to say,Designer,High,30,Burnout,Africa,Onsite
23,Non-binary,Software Engineer,High,53,Anxiety,Africa,Hybrid
38,Prefer not to say,Project Manager,Medium,57,Burnout,Africa,Onsite
42,Male,Marketing,High,49,Anxiety,Asia,Onsite
31,Non-binary,HR,High,55,Depression,Europe,Onsite
28,Female,Marketing,Medium,37,Anxiety,South America,Remote
29,Male,Data Scientist,High,51,Burnout,South America,Remote
27,Male,Project Manager,Low,21,Burnout,Asia,Hybrid
54,Female,Data Scientist,High,21,Burnout,Asia,Hybrid
42,Non-binary,Software Engineer,High,44,Depression,South America,Onsite
58,Prefer not to say,HR,High,26,Depression,North America,Hybrid
26,Female,Project Manager,High,43,Burnout,Europe,Hybrid
56,Male,Designer,Low,42,,Oceania,Hybrid
50,Male,Designer,Low,44,Burnout,Asia,Hybrid
55,Prefer not to say,Project Manager,Low,27,Anxiety,North America,Onsite
22,Prefer not to say,Data Scientist,Medium,43,,Africa,Hybrid
24,Female,Designer,High,38,Anxiety,North America,Remote
53,Prefer not to say,Marketing,Low,38,Depression,Oceania,Hybrid
57,Female,Data Scientist,Medium,57,Depression,Africa,Onsite
22,Female,Software Engineer,High,60,Burnout,South America,Onsite
41,Male,Data Scientist,Medium,29,Burnout,Asia,Onsite
46,Non-binary,Data Scientist,High,54,Depression,Europe,Remote
60,Non-binary,Project Manager,High,31,,Africa,Onsite
44,Female,Project Manager,Low,54,Burnout,Asia,Remote
35,Male,Data Scientist,High,33,Burnout,Africa,Hybrid
48,Male,Designer,Low,25,Burnout,South America,Hybrid
31,Prefer not to say,Data Scientist,Low,21,Burnout,Asia,Onsite
53,Male,Project Manager,Medium,45,,Africa,Hybrid
32,Prefer not to say,Designer,Medium,53,Depression,Asia,Onsite
33,Prefer not to say,Sales,High,46,Burnout,Africa,Hybrid
45,Prefer not to say,Sales,High,22,Burnout,Africa,Hybrid
50,Male,Software Engineer,High,60,Depression,Africa,Hybrid
41,Female,Designer,Low,42,Depression,Africa,Hybrid
43,Non-binary,Data Scientist,High,60,Burnout,South America,Onsite
29,Prefer not to say,HR,Medium,35,Anxiety,South America,Onsite
44,Prefer not to say,Software Engineer,High,44,Anxiety,Europe,Hybrid
50,Prefer not to say,Software Engineer,Medium,50,Burnout,Oceania,Remote
36,Male,Data Scientist,Low,22,Burnout,Asia,Remote
34,Female,Data Scientist,High,29,Anxiety,Africa,Hybrid
49,Male,HR,Low,34,Burnout,Africa,Remote
45,Female,Marketing,Low,30,Depression,Europe,Remote
45,Prefer not to say,Data Scientist,Low,53,,Europe,Onsite
53,Female,Designer,High,29,Anxiety,Oceania,Remote
29,Male,Marketing,Medium,27,Anxiety,South America,Onsite
34,Prefer not to say,Project Manager,Medium,44,Burnout,North America,Onsite
58,Female,Data Scientist,High,42,Burnout,Europe,Remote
38,Female,Data Scientist,Medium,22,Burnout,Europe,Hybrid
40,Prefer not to say,Project Manager,Medium,34,,Africa,Hybrid
45,Prefer not to say,Project Manager,High,51,Anxiety,South America,Onsite
43,Non-binary,Marketing,High,48,Depression,Europe,Hybrid
50,Male,Software Engineer,High,30,Anxiety,Africa,Onsite
58,Prefer not to say,Sales,Low,59,,North America,Onsite
42,Non-binary,HR,High,26,Depression,South America,Remote
53,Prefer not to say,Data Scientist,Low,60,Burnout,South America,Hybrid
36,Female,Marketing,Medium,38,Burnout,North America,Onsite
51,Female,Project Manager,High,34,,Europe,Remote
27,Female,Designer,Medium,46,Burnout,Europe,Onsite
22,Female,Sales,Low,35,,Oceania,Hybrid
32,Female,Designer,Medium,23,,Africa,Remote
32,Female,Marketing,Low,28,Burnout,Africa,Remote
53,Male,Marketing,Medium,57,,South America,Onsite
26,Non-binary,Marketing,Low,29,,Europe,Hybrid
60,Male,Marketing,Medium,39,,Oceania,Hybrid
51,Non-binary,Marketing,Medium,46,Burnout,Oceania,Remote
44,Male,Data Scientist,High,26,Burnout,South America,Remote
48,Non-binary,Sales,Medium,32,,Oceania,Remote
57,Non-binary,Data Scientist,High,30,,North America,Remote
49,Non-binary,Project Manager,Low,48,Anxiety,Asia,Hybrid
32,Non-binary,Project Manager,High,44,Anxiety,Africa,Onsite
49,Female,Project Manager,Low,49,Burnout,Asia,Hybrid
23,Female,Designer,High,23,,Europe,Hybrid
55,Prefer not to say,Designer,Low,33,Burnout,North America,Onsite
47,Non-binary,HR,High,35,Anxiety,Asia,Remote
48,Non-binary,Marketing,Medium,41,Depression,Europe,Remote
36,Prefer not to say,Software Engineer,Low,34,Depression,Africa,Hybrid
45,Male,Designer,Low,44,Anxiety,North America,Remote
41,Female,Designer,High,52,Depression,Oceania,Onsite
50,Male,Designer,Low,57,Burnout,Oceania,Onsite
41,Female,Software Engineer,High,32,Anxiety,Oceania,Remote
57,Female,Designer,Low,31,Burnout,Oceania,Remote
30,Male,Software Engineer,Medium,58,Burnout,Africa,Hybrid
23,Female,Data Scientist,Medium,26,Depression,Asia,Remote
30,Male,Software Engineer,Low,57,,North America,Remote
47,Female,Project Manager,Low,20,,North America,Onsite
33,Prefer not to say,Project Manager,High,26,,South America,Hybrid
32,Male,Data Scientist,High,43,Depression,North America,Hybrid
43,Male,Designer,Low,50,Depression,South America,Onsite
43,Non-binary,Software Engineer,High,52,Burnout,Oceania,Onsite
35,Female,Marketing,Medium,37,Anxiety,Africa,Hybrid
40,Female,Data Scientist,High,38,,Africa,Hybrid
29,Prefer not to say,Designer,High,55,Depression,South America,Hybrid
24,Non-binary,Data Scientist,Medium,53,,Africa,Hybrid
40,Male,Software Engineer,Medium,20,Burnout,Oceania,Onsite
22,Female,Software Engineer,Low,46,Anxiety,Africa,Hybrid
48,Non-binary,Software Engineer,Low,30,Depression,Africa,Onsite
60,Non-binary,Software Engineer,High,50,Anxiety,Asia,Remote
34,Prefer not to say,HR,Medium,50,,Europe,Remote
50,Prefer not to say,Project Manager,Low,50,Burnout,Europe,Hybrid
38,Male,Designer,Low,23,,North America,Remote
36,Male,Data Scientist,Medium,45,Depression,Europe,Onsite
35,Non-binary,Software Engineer,Medium,25,Burnout,South America,Hybrid
25,Prefer not to say,Designer,High,36,,North America,Remote
34,Non-binary,HR,Low,60,,Europe,Onsite
32,Prefer not to say,Project Manager,Low,35,Anxiety,Europe,Remote
58,Prefer not to say,Marketing,Medium,55,Depression,North America,Hybrid
40,Female,Project Manager,Medium,47,,Europe,Onsite
56,Female,HR,High,57,,South America,Hybrid
44,Non-binary,HR,Medium,22,,South America,Hybrid
30,Non-binary,Data Scientist,Medium,43,Burnout,Europe,Remote
49,Non-binary,Marketing,Low,45,,South America,Remote
26,Male,Designer,Low,56,Burnout,Europe,Onsite
52,Male,Data Scientist,High,46,Depression,Africa,Onsite
24,Prefer not to say,HR,Medium,60,Depression,Europe,Hybrid
40,Non-binary,Designer,Medium,32,Depression,Asia,Remote
57,Non-binary,HR,Medium,59,Anxiety,Oceania,Hybrid
23,Prefer not to say,Software Engineer,High,60,,Oceania,Onsite
40,Prefer not to say,Data Scientist,High,43,Burnout,Oceania,Hybrid
45,Male,Data Scientist,Low,33,Burnout,North America,Remote
46,Female,Data Scientist,Low,20,,Europe,Hybrid
37,Female,Software Engineer,Medium,27,Anxiety,North America,Hybrid
51,Female,Software Engineer,Medium,43,Depression,South America,Onsite
52,Male,Sales,Medium,23,Depression,South America,Onsite
53,Male,Data Scientist,Medium,29,Burnout,Africa,Onsite
39,Male,Sales,Medium,47,,North America,Remote
56,Female,Designer,Low,46,Anxiety,Oceania,Onsite
59,Non-binary,Marketing,Low,40,,South America,Hybrid
28,Male,Project Manager,High,47,Burnout,Oceania,Remote
36,Female,Data Scientist,High,53,Burnout,South America,Remote
45,Non-binary,Sales,Medium,55,Burnout,Oceania,Hybrid
52,Male,Sales,Medium,40,Anxiety,Asia,Remote
55,Female,Project Manager,Low,28,Depression,Asia,Hybrid
58,Male,Sales,Low,39,Burnout,South America,Hybrid
51,Prefer not to say,Software Engineer,Medium,41,Burnout,Asia,Onsite
52,Male,Data Scientist,Low,21,Burnout,Oceania,Onsite
54,Non-binary,Project Manager,Low,34,Burnout,Africa,Onsite
35,Male,Designer,Low,36,Burnout,Europe,Remote
39,Male,Marketing,High,32,Anxiety,North America,Remote
47,Prefer not to say,Sales,Medium,21,Anxiety,Africa,Hybrid
49,Male,Project Manager,High,56,Anxiety,Europe,Onsite
60,Prefer not to say,Marketing,Low,58,Burnout,North America,Onsite
47,Female,Software Engineer,High,35,,Oceania,Onsite
27,Prefer not to say,Project Manager,Low,52,Anxiety,Europe,Hybrid
46,Prefer not to say,Marketing,Low,33,Depression,South America,Remote
25,Non-binary,Software Engineer,Medium,47,Burnout,Europe,Remote
30,Male,HR,Medium,56,Depression,Oceania,Onsite
38,Prefer not to say,Data Scientist,Low,33,Anxiety,Europe,Onsite
56,Female,HR,Low,60,Anxiety,Asia,Remote
42,Male,Sales,Low,32,Burnout,South America,Hybrid
42,Prefer not to say,Project Manager,Medium,48,,Oceania,Hybrid
30,Female,HR,High,39,,Asia,Hybrid
33,Male,Software Engineer,High,23,Anxiety,Asia,Onsite
28,Non-binary,Marketing,High,38,Anxiety,Africa,Hybrid
50,Non-binary,Designer,Low,30,Anxiety,North America,Remote
44,Male,Software Engineer,Low,35,,Africa,Onsite
40,Female,Data Scientist,Medium,22,,South America,Remote
23,Male,Project Manager,Medium,28,Depression,Asia,Onsite
30,Female,Marketing,Medium,57,Burnout,Oceania,Onsite
42,Female,HR,Low,48,Burnout,Europe,Hybrid
52,Male,Marketing,Medium,45,Burnout,Africa,Onsite
37,Male,Marketing,Low,34,Burnout,Oceania,Onsite
28,Prefer not to say,Marketing,Low,59,Burnout,Africa,Hybrid
31,Prefer not to say,Software Engineer,High,31,,Asia,Remote
23,Prefer not to say,Marketing,Low,55,Burnout,Africa,Onsite
37,Male,Data Scientist,Low,23,Burnout,Oceania,Remote
25,Male,HR,Medium,51,Depression,Europe,Hybrid
55,Female,Software Engineer,Medium,32,Depression,Europe,Remote
56,Non-binary,Marketing,Low,41,Depression,North America,Remote
51,Prefer not to say,Software Engineer,Low,46,,South America,Hybrid
35,Male,HR,High,58,Depression,Oceania,Onsite
22,Non-binary,Sales,High,59,Burnout,North America,Onsite
34,Non-binary,Project Manager,Medium,40,Depression,Oceania,Remote
37,Prefer not to say,Sales,High,56,Burnout,Europe,Remote
59,Prefer not to say,Software Engineer,High,47,Anxiety,North America,Onsite
53,Female,Project Manager,Low,38,Anxiety,South America,Hybrid
38,Male,Data Scientist,Low,59,Anxiety,South America,Remote
32,Male,Project Manager,Medium,47,,Oceania,Onsite
36,Prefer not to say,HR,Medium,49,Depression,Africa,Remote
29,Female,Project Manager,Low,20,,Africa,Hybrid
38,Non-binary,Project Manager,High,50,Anxiety,South America,Hybrid
32,Male,Project Manager,High,32,Depression,Oceania,Hybrid
43,Prefer not to say,Sales,Low,23,Anxiety,Oceania,Hybrid
46,Prefer not to say,HR,Medium,22,Anxiety,Africa,Remote
42,Prefer not to say,Data Scientist,Medium,33,Burnout,Africa,Hybrid
27,Male,Project Manager,Medium,32,Burnout,Oceania,Hybrid
54,Prefer not to say,Marketing,Medium,51,Anxiety,Europe,Onsite
43,Male,Designer,Medium,49,Burnout,Oceania,Hybrid
31,Female,Data Scientist,Medium,30,Anxiety,Oceania,Remote
53,Non-binary,Software Engineer,Medium,25,Burnout,Asia,Remote
57,Non-binary,Software Engineer,High,40,,North America,Onsite
50,Non-binary,Project Manager,Low,32,Burnout,Asia,Onsite
37,Male,Sales,Medium,20,Burnout,Africa,Onsite
58,Female,Project Manager,Medium,35,Depression,Asia,Hybrid
57,Non-binary,Sales,Medium,49,Anxiety,Europe,Remote
50,Prefer not to say,Sales,Medium,34,Depression,Europe,Onsite
48,Male,Project Manager,Medium,58,Burnout,South America,Hybrid
43,Non-binary,HR,Medium,26,Anxiety,South America,Onsite
58,Female,Marketing,Medium,36,Burnout,Europe,Onsite
30,Male,Designer,High,48,Depression,Africa,Hybrid
44,Non-binary,HR,High,57,Anxiety,South America,Onsite
41,Prefer not to say,HR,Medium,32,Depression,Oceania,Hybrid
60,Female,Marketing,Medium,55,Burnout,Asia,Remote
58,Non-binary,Designer,High,28,Depression,Asia,Hybrid
60,Prefer not to say,Sales,Low,53,Depression,Oceania,Onsite
27,Non-binary,Designer,Low,36,Depression,Europe,Onsite
38,Female,Sales,High,54,Anxiety,Asia,Remote
56,Male,Marketing,Low,33,Burnout,Asia,Remote
31,Male,Designer,Medium,39,,Africa,Onsite
37,Prefer not to say,Software Engineer,Medium,33,Anxiety,North America,Hybrid
41,Female,Software Engineer,Low,48,Anxiety,Asia,Hybrid
58,Male,Designer,Medium,60,Depression,Europe,Remote
49,Male,Data Scientist,Medium,24,,Asia,Remote
23,Non-binary,Data Scientist,High,28,Burnout,Asia,Remote
24,Non-binary,Project Manager,Low,20,Depression,Oceania,Hybrid
41,Prefer not to say,Project Manager,Medium,28,Anxiety,Asia,Onsite
32,Female,HR,Medium,48,,Africa,Remote
47,Prefer not to say,Sales,High,51,,Africa,Hybrid
23,Non-binary,Designer,Low,39,Anxiety,Africa,Hybrid
34,Prefer not to say,Marketing,Medium,25,Anxiety,North America,Remote
42,Male,Sales,High,53,,Europe,Hybrid
42,Prefer not to say,HR,High,44,Burnout,Asia,Hybrid
33,Female,Sales,Medium,31,Burnout,Africa,Hybrid
40,Male,Designer,Low,58,Depression,Asia,Onsite
27,Male,Marketing,Low,26,Depression,Europe,Hybrid
39,Prefer not to say,Data Scientist,Low,20,,North America,Hybrid
42,Female,Marketing,Low,28,,Europe,Hybrid
22,Non-binary,Sales,Medium,35,Burnout,Asia,Remote
45,Female,Marketing,Low,30,,North America,Remote
47,Female,Data Scientist,Low,28,,Oceania,Hybrid
24,Non-binary,Designer,Medium,21,Anxiety,Oceania,Remote
48,Non-binary,HR,Medium,56,Depression,Europe,Remote
60,Non-binary,Software Engineer,High,25,Burnout,Africa,Hybrid
41,Non-binary,Software Engineer,High,21,,South America,Remote
49,Prefer not to say,Project Manager,Medium,50,Burnout,Africa,Remote
27,Prefer not to say,Data Scientist,High,50,Burnout,Europe,Onsite
35,Prefer not to say,Marketing,Low,27,Depression,Asia,Hybrid
23,Male,Software Engineer,Medium,31,Depression,North America,Onsite
24,Prefer not to say,Designer,Low,45,Anxiety,Africa,Hybrid
41,Non-binary,Sales,Medium,23,,Africa,Remote
41,Prefer not to say,Designer,Low,42,,Asia,Onsite
43,Female,Data Scientist,Medium,37,,Oceania,Onsite
30,Non-binary,Sales,Low,40,Anxiety,South America,Onsite
44,Male,HR,High,23,Depression,Africa,Onsite
50,Male,Marketing,Medium,20,Burnout,North America,Remote
48,Non-binary,Designer,Medium,51,Anxiety,Asia,Remote
45,Male,Marketing,Low,46,Depression,Asia,Onsite
60,Male,HR,Medium,37,Anxiety,Europe,Remote
51,Prefer not to say,Project Manager,Low,42,Burnout,Africa,Onsite
48,Prefer not to say,HR,Low,53,,Europe,Hybrid
43,Female,Marketing,Low,26,Burnout,Africa,Hybrid
23,Prefer not to say,Marketing,Medium,48,,South America,Onsite
32,Male,Marketing,Low,58,Anxiety,Asia,Onsite
44,Non-binary,HR,Medium,52,Burnout,Asia,Hybrid
36,Female,Marketing,High,52,Anxiety,Oceania,Hybrid
50,Male,Designer,Low,49,,Oceania,Onsite
54,Non-binary,Marketing,High,55,Anxiety,North America,Hybrid
54,Male,Designer,High,33,Depression,Oceania,Remote
33,Prefer not to say,HR,High,24,Depression,South America,Onsite
47,Prefer not to say,Sales,Low,21,Depression,North America,Onsite
25,Prefer not to say,Software Engineer,Low,55,Depression,Africa,Remote
38,Male,Sales,Medium,44,Depression,Europe,Remote
31,Female,Software Engineer,Medium,24,,Asia,Onsite
58,Male,Marketing,High,25,Anxiety,Oceania,Onsite
28,Prefer not to say,Designer,High,40,Burnout,Africa,Hybrid
54,Prefer not to say,Sales,Low,59,Anxiety,Asia,Hybrid
60,Female,Software Engineer,High,22,Burnout,South America,Onsite
38,Non-binary,Designer,Medium,47,,North America,Hybrid
31,Female,Sales,Low,31,Depression,Europe,Hybrid
42,Non-binary,Designer,High,41,,South America,Onsite
52,Female,Data Scientist,High,52,Burnout,North America,Remote
41,Female,HR,Low,48,Burnout,Asia,Hybrid
44,Male,Project Manager,Medium,41,Depression,North America,Onsite
42,Female,Data Scientist,High,21,Burnout,South America,Remote
53,Male,Software Engineer,Low,49,Burnout,Africa,Hybrid
52,Female,Software Engineer,High,32,Depression,North America,Remote
23,Non-binary,Marketing,Medium,40,,Africa,Remote
24,Female,Sales,High,22,Burnout,Africa,Onsite
41,Prefer not to say,Project Manager,Low,44,,Asia,Hybrid
60,Prefer not to say,HR,Medium,41,,Africa,Onsite
25,Prefer not to say,Designer,High,37,Burnout,South America,Remote
55,Prefer not to say,HR,Medium,54,Anxiety,North America,Onsite
33,Non-binary,Software Engineer,Low,31,Depression,South America,Onsite
43,Prefer not to say,Data Scientist,Medium,53,Depression,Africa,Hybrid
59,Male,Project Manager,Medium,23,Anxiety,Africa,Remote
48,Male,Sales,Low,58,Depression,South America,Remote
31,Non-binary,HR,Low,26,,Asia,Remote
28,Male,Designer,Medium,46,,Asia,Remote
49,Male,Sales,Medium,20,Anxiety,South America,Remote
56,Prefer not to say,HR,Medium,56,Depression,Europe,Hybrid
56,Non-binary,Sales,Medium,28,Burnout,Asia,Onsite
51,Female,Sales,Medium,39,,Europe,Hybrid
38,Non-binary,Designer,Medium,22,,South America,Onsite
40,Male,Project Manager,High,32,Anxiety,South America,Onsite
56,Non-binary,Project Manager,Low,28,,Africa,Hybrid
33,Non-binary,Sales,Medium,22,,South America,Hybrid
45,Male,Marketing,Medium,53,Depression,Europe,Onsite
55,Non-binary,Sales,Medium,33,Anxiety,Europe,Hybrid
39,Female,Data Scientist,High,34,Burnout,South America,Remote
58,Non-binary,Software Engineer,Low,50,Burnout,Africa,Remote
41,Non-binary,Data Scientist,Medium,28,,Oceania,Onsite
57,Prefer not to say,Marketing,Medium,51,,Europe,Onsite
31,Female,Software Engineer,High,35,Depression,Africa,Remote
34,Prefer not to say,Sales,Medium,39,,Oceania,Remote
39,Prefer not to say,Software Engineer,High,58,,Oceania,Hybrid
29,Non-binary,Designer,Low,34,Anxiety,Oceania,Hybrid
31,Prefer not to say,Designer,Medium,48,,South America,Hybrid
30,Female,Designer,High,52,Burnout,Europe,Remote
53,Prefer not to say,Designer,High,59,,Africa,Remote
27,Male,Marketing,High,32,Burnout,Oceania,Remote
39,Male,Designer,Medium,41,,Africa,Remote
59,Male,Project Manager,Medium,34,Anxiety,South America,Remote
58,Non-binary,HR,Low,41,Burnout,North America,Hybrid
28,Prefer not to say,Sales,Medium,55,Anxiety,Europe,Remote
56,Male,Designer,High,50,Burnout,Asia,Remote
31,Non-binary,Project Manager,High,25,Anxiety,Oceania,Remote
28,Female,Sales,Medium,21,Depression,Africa,Onsite
46,Female,Sales,High,44,Depression,Africa,Hybrid
32,Female,Sales,High,28,Depression,South America,Remote
37,Male,Software Engineer,Medium,54,Burnout,Europe,Onsite
50,Prefer not to say,Project Manager,Medium,55,Burnout,North America,Hybrid
55,Female,Marketing,Medium,26,,South America,Remote
45,Female,HR,Low,41,Depression,Africa,Onsite
50,Female,Sales,Low,50,Anxiety,North America,Onsite
43,Prefer not to say,Project Manager,Medium,55,Anxiety,Oceania,Hybrid
39,Non-binary,Marketing,Medium,22,Anxiety,Africa,Hybrid
30,Female,Data Scientist,Low,33,Burnout,Europe,Hybrid
36,Male,Project Manager,High,21,Burnout,Europe,Hybrid
58,Prefer not to say,Designer,Medium,28,Burnout,Europe,Hybrid
53,Prefer not to say,Data Scientist,High,22,,Africa,Remote
56,Non-binary,HR,High,58,Anxiety,Asia,Remote
57,Male,Project Manager,Low,39,Anxiety,South America,Remote
58,Male,Data Scientist,Low,35,Anxiety,Africa,Onsite
57,Female,Designer,High,56,Burnout,Europe,Hybrid
46,Non-binary,Data Scientist,Medium,29,Anxiety,Asia,Remote
42,Female,HR,High,24,,Europe,Hybrid
24,Prefer not to say,Project Manager,High,60,,South America,Onsite
53,Female,HR,Low,31,Burnout,Oceania,Remote
24,Female,Data Scientist,Low,50,,North America,Remote
30,Non-binary,Project Manager,Medium,27,Burnout,South America,Remote
22,Prefer not to say,Software Engineer,Medium,43,,Europe,Remote
28,Non-binary,Designer,Medium,30,Anxiety,South America,Hybrid
52,Non-binary,Sales,Medium,26,Burnout,Europe,Onsite
47,Prefer not to say,Project Manager,Medium,47,Anxiety,South America,Onsite
30,Male,Data Scientist,Medium,56,Burnout,Oceania,Onsite
52,Female,Sales,Low,30,Depression,North America,Hybrid
25,Prefer not to say,Sales,High,26,Depression,Asia,Hybrid
50,Non-binary,HR,Medium,47,Burnout,Oceania,Onsite
60,Female,HR,High,38,Depression,Asia,Remote
48,Female,Marketing,Medium,49,Anxiety,Africa,Hybrid
28,Male,HR,Medium,49,Burnout,Asia,Remote
23,Prefer not to say,Marketing,Medium,37,,Oceania,Remote
26,Male,Project Manager,High,24,,Europe,Hybrid
27,Female,Marketing,Medium,53,Depression,North America,Hybrid
52,Non-binary,Sales,Medium,33,Anxiety,Asia,Remote
32,Prefer not to say,Software Engineer,Medium,41,Depression,Asia,Onsite
23,Prefer not to say,Sales,Low,31,Burnout,Europe,Remote
41,Prefer not to say,Sales,Low,29,Anxiety,Oceania,Onsite
33,Female,Project Manager,High,33,Anxiety,North America,Hybrid
37,Non-binary,Sales,High,58,Anxiety,Europe,Remote
33,Male,Project Manager,High,42,,Oceania,Hybrid
28,Non-binary,Marketing,High,23,Depression,North America,Hybrid
57,Non-binary,Project Manager,High,28,Burnout,South America,Hybrid
45,Female,Designer,Low,41,Burnout,Oceania,Hybrid
50,Female,Data Scientist,High,33,Anxiety,Oceania,Onsite
53,Non-binary,Marketing,Medium,46,,Oceania,Hybrid
58,Prefer not to say,HR,High,25,Depression,Europe,Remote
48,Prefer not to say,Project Manager,Medium,55,Depression,Asia,Onsite
42,Prefer not to say,Sales,High,53,Burnout,Europe,Onsite
22,Non-binary,Software Engineer,Medium,47,Burnout,Asia,Onsite
23,Female,Data Scientist,Low,35,Depression,South America,Hybrid
59,Prefer not to say,HR,Low,39,Depression,North America,Hybrid
50,Non-binary,Designer,High,34,Depression,Oceania,Hybrid
27,Female,HR,High,27,Burnout,Oceania,Hybrid
25,Prefer not to say,Software Engineer,Low,22,Anxiety,Africa,Remote
52,Male,Designer,Low,48,Depression,Africa,Onsite
37,Non-binary,Sales,Low,52,Burnout,North America,Remote
22,Non-binary,Project Manager,Medium,40,Burnout,South America,Onsite
51,Male,HR,Low,41,Burnout,Asia,Hybrid
57,Male,Project Manager,High,56,Burnout,Europe,Hybrid
58,Prefer not to say,Data Scientist,Low,57,Anxiety,North America,Onsite
32,Prefer not to say,Data Scientist,High,36,Anxiety,Oceania,Remote
41,Female,Data Scientist,Low,32,Burnout,Oceania,Hybrid
36,Female,Marketing,Medium,32,,Asia,Remote
51,Non-binary,Data Scientist,Low,58,Depression,Asia,Remote
60,Female,Sales,Low,59,,South America,Remote
34,Female,HR,Medium,22,,Africa,Onsite
33,Female,Sales,Medium,49,Anxiety,Oceania,Remote
53,Prefer not to say,Marketing,High,42,Depression,Asia,Onsite
53,Female,Sales,Low,20,Depression,Africa,Onsite
